City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
425,Ugoofaaru,MV,80.26,scattered clouds,5.6667,73.0,Ungoofaaru Inn
427,Todos Santos,MX,82.65,broken clouds,23.45,-110.2167,Hotel California Todos Santos
432,Dingle,PH,75.42,light rain,10.9995,122.6711,SEGAYA PROPERTY
437,Vila Do Maio,CV,79.59,broken clouds,15.1333,-23.2167,Hotel Marilu
440,Simdega,IN,75.11,moderate rain,22.6167,84.5167,Circuit House
441,Uruacu,BR,85.87,clear sky,-14.5247,-49.1408,Cassius Hotel
442,Binzhou,CN,78.89,very heavy rain,37.3667,118.0167,Hampton By Hilton Binzhou
444,Cururupu,BR,78.66,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
450,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
451,Labuhan,ID,75.94,scattered clouds,-6.8844,112.2051,DoubleFAG
457,Valleyview,CA,82.44,clear sky,55.0667,-117.2859,Paradise Inn & Suites
458,Namatanai,PG,78.66,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
461,Aitape,PG,76.28,scattered clouds,-3.1374,142.3475,
462,Tahta,EG,88.77,clear sky,26.7693,31.5021,فندق الزيات
463,Durant,US,80.76,broken clouds,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
477,Katsuura,JP,76.82,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
478,Ponnani,IN,77.65,overcast clouds,10.767,75.9252,Rouba Residency
479,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
480,Kimbe,PG,77.02,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
481,Naze,JP,81.52,overcast clouds,28.3667,129.4833,Shishime Hotel
482,Kralendijk,BQ,89.58,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
485,Duluth,US,77.07,scattered clouds,46.7833,-92.1066,South Pier Inn
487,Tuburan,PH,78.62,moderate rain,6.6439,122.2736,GT Site
488,Natchez,US,77.22,scattered clouds,31.5604,-91.4032,Hampton Inn & Suites Natchez
489,Rock Springs,US,88.23,scattered clouds,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
490,Makat,KZ,81.12,few clouds,47.6469,53.3463,Umit
492,Dhidhdhoo,MV,81.23,broken clouds,6.8833,73.1,Dhidhoo beach
500,Mastic Beach,US,84.4,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
506,Portel,BR,87.44,scattered clouds,-1.9356,-50.8211,Kitnet do Marcos
514,Ganzhou,CN,84.54,broken clouds,28.8184,115.4327,Zhanqian Grand Hotel
