City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Lasa,IT,46.6166,10.7002,63.48,92,66,1.23,broken clouds
110,Provideniya,RU,64.3833,-173.3,44.71,81,100,4.47,overcast clouds
111,Pevek,RU,69.7008,170.3133,40.03,73,0,0.74,clear sky
112,Clyde River,CA,70.4692,-68.5914,46.63,81,75,8.05,broken clouds
113,Bambous Virieux,MU,-20.3428,57.7575,70.21,78,20,10.36,few clouds
114,Upernavik,GL,72.7868,-56.1549,40.24,91,100,2.62,overcast clouds
115,Ribeira Grande,PT,38.5167,-28.7,75.6,57,40,2.3,scattered clouds
116,Roebourne,AU,-20.7833,117.1333,67.41,29,44,20.4,scattered clouds
117,Prado,BR,-17.3411,-39.2208,73.33,75,15,11.68,few clouds
118,Torbay,CA,47.6666,-52.7314,61.75,97,100,6.91,shower rain
119,Artvin,TR,41.1667,41.8333,69.33,94,81,3.96,broken clouds
120,Airai,TL,-8.9266,125.4092,51.04,48,43,2.84,scattered clouds
121,Sao Filipe,CV,14.8961,-24.4956,77.61,78,30,6.49,scattered clouds
122,Kapaa,US,22.0752,-159.319,84.47,71,75,10.36,broken clouds
123,Moanda,GA,-1.5575,13.2178,71.35,83,94,3.49,overcast clouds
124,Kaitangata,NZ,-46.2817,169.8464,48.47,93,22,4.56,few clouds
125,Harper,LR,4.375,-7.7169,75.06,80,67,6.89,broken clouds
126,Necochea,AR,-38.5473,-58.7368,44.87,68,11,19.66,few clouds
127,Saskylakh,RU,71.9167,114.0833,36.72,87,100,14.14,overcast clouds
128,Breznita-Motru,RO,44.5667,23.2167,76.84,41,0,3.96,clear sky
129,Sibolga,ID,1.7427,98.7792,76.57,87,95,3.51,overcast clouds
130,Galle,LK,6.0367,80.217,77.29,88,99,9.78,overcast clouds
131,Olinda,BR,-8.0089,-34.8553,78.53,65,40,10.36,scattered clouds
132,Raudeberg,NO,61.9875,5.1352,56.07,70,100,14.74,overcast clouds
133,Longyearbyen,SJ,78.2186,15.6401,42.64,75,75,19.57,light rain
134,Kinshasa,CD,-4.3246,15.3215,79.72,51,20,4.52,few clouds
135,Alindao,CF,5.0267,21.2088,69.33,97,98,3.18,overcast clouds
136,Hayden,US,47.766,-116.7866,99.48,25,0,10.36,clear sky
137,Ciudad Bolivar,VE,8.1222,-63.5497,90.84,46,49,1.86,scattered clouds
138,Nhulunbuy,AU,-12.2333,136.7667,66.81,88,40,3.44,scattered clouds
139,Hasaki,JP,35.7333,140.8333,70.29,79,2,8.97,clear sky
140,Teeli,RU,51.0333,90.2333,46.31,79,100,4.72,overcast clouds
141,Voskresenskoye,RU,56.8381,45.4317,59.14,63,28,7.56,scattered clouds
142,Qaanaaq,GL,77.484,-69.3632,37.18,98,100,1.52,overcast clouds
143,Medicine Hat,CA,50.0501,-110.6683,87.22,30,20,5.75,few clouds
144,Quang Ngai,VN,15.1167,108.8,77.02,87,100,4.9,overcast clouds
145,Klaksvik,FO,62.2266,-6.589,52.72,89,81,25.39,broken clouds
146,Port Blair,IN,11.6667,92.75,81.28,82,100,16.87,overcast clouds
147,Strezhevoy,RU,60.7333,77.5889,53.38,82,100,8.61,overcast clouds
148,Tuscaloosa,US,33.2098,-87.5692,85.05,67,0,6.91,clear sky
149,Lianran,CN,24.9227,102.485,66.74,92,37,1.74,scattered clouds
150,Vao,NC,-22.6667,167.4833,67.57,58,5,8.63,clear sky
151,Pacific Grove,US,36.6177,-121.9166,81.39,77,0,9.22,clear sky
152,Hobyo,SO,5.3505,48.5268,76.44,85,100,27.16,overcast clouds
153,Verkhnetulomskiy,RU,68.6073,31.7962,46.53,75,100,8.19,overcast clouds
154,Liwale,TZ,-9.7667,37.9333,67.01,86,5,5.7,clear sky
155,Miranda,CO,3.2499,-76.2281,84.33,66,94,1.48,overcast clouds
156,Asyut,EG,27.181,31.1837,87.98,22,0,6.46,clear sky
157,Lorengau,PG,-2.0226,147.2712,80.83,79,25,7.09,scattered clouds
158,Kloulklubed,PW,7.0419,134.2556,73.9,76,100,11.56,overcast clouds
159,Castro,BR,-24.7911,-50.0119,54.9,97,100,6.42,light rain
160,Codrington,AU,-38.2667,141.9667,40.21,91,7,8.68,clear sky
161,Camalu,MX,30.85,-116.0667,77.77,68,100,11.1,overcast clouds
162,Burgeo,CA,47.6167,-57.6152,63.84,99,100,11.36,overcast clouds
163,Eureka,US,40.8021,-124.1637,70.2,84,68,8.01,broken clouds
164,Caravelas,BR,-17.7125,-39.2481,72.54,74,0,10.33,clear sky
165,Esperance,AU,-33.8667,121.9,50.23,84,13,15.77,few clouds
166,Cherskiy,RU,68.75,161.3,56.43,42,88,14.81,overcast clouds
167,Deputatskiy,RU,69.3,139.9,45.84,91,94,2.77,overcast clouds
168,Hohhot,CN,40.8106,111.6522,66.49,63,0,13.42,clear sky
169,Touros,BR,-5.1989,-35.4608,76.95,74,46,17.47,scattered clouds
170,Brownsville,US,25.9018,-97.4975,97.09,53,75,13.8,broken clouds
171,Cidreira,BR,-30.1811,-50.2056,52.3,60,91,16.31,overcast clouds
172,Havelock,US,34.8791,-76.9013,87.75,57,40,9.22,scattered clouds
