City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Saint-Augustin,CA,2022-08-18 15:49:36,51.226,-58.6502,62.06,70,100,10.71
97,La Ronge,CA,2022-08-18 15:49:36,55.1001,-105.2842,68.25,68,0,8.05
98,Bubaque,GW,2022-08-18 15:49:37,11.2833,-15.8333,79.11,82,34,14.9
99,Mar Del Plata,AR,2022-08-18 15:49:37,-38.0023,-57.5575,52.09,68,40,18.99
100,Saint-Philippe,RE,2022-08-18 15:49:37,-21.3585,55.7679,71.22,80,29,10.78
101,Soyo,AO,2022-08-18 15:49:38,-6.1349,12.3689,73.89,76,52,9.89
102,Iqaluit,CA,2022-08-18 15:49:38,63.7506,-68.5145,40.73,100,100,12.66
103,Lompoc,US,2022-08-18 15:49:38,34.6391,-120.4579,55.29,100,100,3.44
104,Guanambi,BR,2022-08-18 15:49:39,-14.2233,-42.7814,84.96,26,7,9.28
105,Micheweni,TZ,2022-08-18 15:49:39,-4.9667,39.8333,75.04,76,77,11.77
106,Butaritari,KI,2022-08-18 15:49:39,3.0707,172.7902,81.39,66,100,11.54
107,Fortuna,US,2022-08-18 15:49:40,40.5982,-124.1573,55.74,95,100,0.0
108,Mineros,BO,2022-08-18 15:49:40,-17.1167,-63.2333,65.7,53,100,11.34
109,Cidreira,BR,2022-08-18 15:49:40,-30.1811,-50.2056,52.7,78,100,18.25
110,Pevek,RU,2022-08-18 15:49:40,69.7008,170.3133,39.11,74,0,5.28
111,Mayo,US,2022-08-18 15:49:41,38.8876,-76.5119,82.11,64,0,4.61
112,Opuwo,NA,2022-08-18 15:49:41,-18.0607,13.84,81.77,12,82,15.97
113,Qui Nhon,VN,2022-08-18 15:49:41,13.7667,109.2333,81.19,78,88,6.06
114,Puerto Ayora,EC,2022-08-18 15:49:42,-0.7393,-90.3518,71.56,89,98,8.01
115,Broken Hill,AU,2022-08-18 15:47:31,-31.95,141.4333,49.28,69,91,17.9
116,Pangnirtung,CA,2022-08-18 15:49:42,66.1451,-65.7125,46.4,81,75,10.36
117,Atlantic City,US,2022-08-18 15:49:42,39.3643,-74.4229,84.04,54,0,8.99
118,Longyearbyen,SJ,2022-08-18 15:49:43,78.2186,15.6401,46.24,71,75,12.66
119,Aksu,CN,2022-08-18 15:49:43,41.1231,80.2644,75.2,50,65,4.43
120,Kodiak,US,2022-08-18 15:49:43,57.79,-152.4072,53.11,71,100,4.61
121,Lorengau,PG,2022-08-18 15:49:44,-2.0226,147.2712,79.75,81,40,7.7
122,Staraya Mayna,RU,2022-08-18 15:49:44,54.6,48.95,77.11,56,100,13.47
123,Murgab,TM,2022-08-18 15:49:44,37.4966,61.9714,91.27,18,0,6.91
124,Martapura,ID,2022-08-18 15:49:45,-3.4167,114.85,78.89,78,20,4.61
125,Chuy,UY,2022-08-18 15:49:45,-33.6971,-53.4616,53.29,44,18,16.8
126,Sedalia,US,2022-08-18 15:49:46,38.7045,-93.2283,77.76,67,0,3.44
127,Leningradskiy,RU,2022-08-18 15:49:46,69.3833,178.4167,33.49,94,54,7.81
128,Ilulissat,GL,2022-08-18 15:49:46,69.2167,-51.1,44.62,70,75,6.91
129,Verkhoyansk,RU,2022-08-18 15:49:47,67.5447,133.385,56.17,85,100,2.01
130,Molina,CL,2022-08-18 15:49:47,-35.1167,-71.2833,48.36,60,20,8.05
131,Kondinskoye,RU,2022-08-18 15:49:47,59.6481,67.41,48.63,95,100,6.53
132,Mangrol,IN,2022-08-18 15:49:48,21.1167,70.1167,79.68,88,77,17.18
133,Vardo,NO,2022-08-18 15:49:48,70.3705,31.1107,53.58,76,75,8.05
134,Alice Springs,AU,2022-08-18 15:47:33,-23.7,133.8833,55.22,61,40,9.22
135,Coihaique,CL,2022-08-18 15:46:01,-45.5752,-72.0662,46.35,71,75,5.75
136,Khani,GE,2022-08-18 15:50:48,41.9563,42.9566,72.97,92,0,1.66
137,Grand Gaube,MU,2022-08-18 15:50:49,-20.0064,57.6608,71.38,74,0,5.01
138,Tagusao,PH,2022-08-18 15:50:49,9.1924,117.8141,79.2,84,100,5.59
139,Te Anau,NZ,2022-08-18 15:50:49,-45.4167,167.7167,46.08,92,45,3.67
140,Khatanga,RU,2022-08-18 15:50:50,71.9667,102.5,40.78,73,76,8.61
141,Bereda,ES,2022-08-18 15:50:50,43.2686,-7.5406,72.41,58,0,7.36
142,Abu Samrah,SY,2022-08-18 15:50:51,35.3029,37.1841,91.44,26,0,13.67
143,Saskylakh,RU,2022-08-18 15:50:51,71.9167,114.0833,37.06,89,100,13.62
144,San Juan Del Sur,NI,2022-08-18 15:50:51,11.2529,-85.8705,84.42,74,40,6.91
145,Nekrasovskoye,RU,2022-08-18 15:50:52,57.6766,40.3657,78.69,47,0,6.71
146,Strezhevoy,RU,2022-08-18 15:50:52,60.7333,77.5889,52.48,69,69,8.7
147,Los Llanos De Aridane,ES,2022-08-18 15:50:52,28.6585,-17.9182,73.15,67,75,16.11
148,Veraval,IN,2022-08-18 15:50:57,20.9,70.3667,79.56,89,69,16.91
149,Comodoro Rivadavia,AR,2022-08-18 15:50:57,-45.8667,-67.5,53.46,40,0,26.46
150,Severo-Kurilsk,RU,2022-08-18 15:50:57,50.6789,156.125,55.42,94,28,8.97
151,Kruisfontein,ZA,2022-08-18 15:50:58,-34.0033,24.7314,56.88,84,99,10.27
152,Inhambane,MZ,2022-08-18 15:50:58,-23.865,35.3833,75.18,88,20,21.0
153,Sinnamary,GF,2022-08-18 15:50:58,5.3833,-52.95,82.87,78,45,12.01
154,Rock Springs,US,2022-08-18 15:50:59,41.5875,-109.2029,72.23,37,0,6.91
155,Kieta,PG,2022-08-18 15:50:59,-6.2167,155.6333,77.63,84,88,6.29
156,Klaksvik,FO,2022-08-18 15:50:59,62.2266,-6.589,52.72,90,88,22.55
157,Lichinga,MZ,2022-08-18 15:51:00,-13.3128,35.2406,73.49,49,20,9.22
158,Port Lincoln,AU,2022-08-18 15:51:00,-34.7333,135.8667,51.8,70,12,12.35
159,Katsuura,JP,2022-08-18 15:51:00,35.1333,140.3,77.2,88,1,9.69
160,Nishihara,JP,2022-08-18 15:51:01,26.1842,127.7558,84.25,81,20,16.11
161,Amahai,ID,2022-08-18 15:51:01,-3.3333,128.9167,76.26,81,86,4.88
162,Dikson,RU,2022-08-18 15:51:02,73.5069,80.5464,41.63,80,100,2.17
163,Mahajanga,MG,2022-08-18 15:51:02,-15.7167,46.3167,77.02,61,0,6.91
164,Lerwick,GB,2022-08-18 15:51:04,60.1545,-1.1494,59.0,94,100,19.73
165,Sao Joao Da Barra,BR,2022-08-18 15:51:04,-21.6403,-41.0511,84.29,66,3,25.93
166,Ostrovnoy,RU,2022-08-18 15:51:04,68.0531,39.5131,51.69,92,100,13.94
